[0425/171502:ERROR:process_info.cc(330)] VirtualQueryEx: 存取被拒。 (0x5)
[0425/171502:ERROR:process_info.cc(547)] ReadMemoryInfo failed
[0425/171502:ERROR:process_info.cc(608)] range at 0xecf0822000, size 0x354 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6eefeac0, size 0x84 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6eefb330, size 0x56 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6eefb36e, size 0x18 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6eefed00, size 0x84 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef06fc0, size 0x3a fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef06fe8, size 0x12 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6eefe880, size 0x84 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef075b0, size 0x3e fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef075d8, size 0x16 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6eefe9a0, size 0x84 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef0e6e0, size 0x4e fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef0e708, size 0x26 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6eefe2e0, size 0x84 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef067a0, size 0x3e fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef067c8, size 0x16 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef11d30, size 0x84 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef07060, size 0x3e fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef07088, size 0x16 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef11e50, size 0x84 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef0eaa0, size 0x4c fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef0eac8, size 0x24 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef122d0, size 0x84 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef06c00, size 0x3c fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef06c28, size 0x14 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef11430, size 0x84 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef06840, size 0x40 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef06868, size 0x18 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef11c10, size 0x84 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef0c540, size 0x9e fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef0c5be, size 0x20 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef123f0, size 0x84 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef0b310, size 0x40 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef0b338, size 0x18 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef12f30, size 0x84 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef0b3b0, size 0x46 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef0b3d8, size 0x1e fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef11310, size 0x84 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef0b400, size 0x40 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef0b428, size 0x18 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef12cf0, size 0x84 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef0b450, size 0x3a fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef0b478, size 0x12 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef11550, size 0x84 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef109c0, size 0x40 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef109e8, size 0x18 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef11670, size 0x84 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef10150, size 0x3c fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef10178, size 0x14 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef11790, size 0x84 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef106f0, size 0x40 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef10718, size 0x18 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef11af0, size 0x84 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef10dd0, size 0x3c fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef10df8, size 0x14 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef118b0, size 0x84 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef10bf0, size 0x3e fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef10c18, size 0x16 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef12090, size 0x84 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef10b00, size 0x40 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef10b28, size 0x18 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef12990, size 0x84 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef1d6e0, size 0xf2 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef1d7ba, size 0x18 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef111f0, size 0x84 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef10600, size 0x40 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef10628, size 0x18 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef12870, size 0x84 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef10290, size 0x3a fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef102b8, size 0x12 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef11f70, size 0x84 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef0ff20, size 0x3e fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef0ff48, size 0x16 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef119d0, size 0x84 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef10e20, size 0x3c fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef10e48, size 0x14 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef12bd0, size 0x84 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef104c0, size 0x3e fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef104e8, size 0x16 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef12510, size 0x84 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef10740, size 0x3e fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x26b6ef10768, size 0x16 fully unreadable
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x26b6ef12630 of 132 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x26b6eef42b0 of 132 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x26b6eef4130 of 132 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x26b6eef2600 of 1004 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:ERROR:process_snapshot_win.cc(302)] ReadMemory RTL_USER_PROCESS_PARAMETERS
[0425/171502:ERROR:process_reader_win.cc(98)] process 24000 not found
[0425/171502:ERROR:process_info.cc(330)] VirtualQueryEx: 存取被拒。 (0x5)
[0425/171502:ERROR:process_info.cc(547)] ReadMemoryInfo failed
[0425/171502:ERROR:process_info.cc(608)] range at 0x7ffeab1d5200, size 0x40 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x7ffeab1a1410, size 0x12 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x7ffeab1a1410, size 0x12 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x7ffeab1a1410, size 0x12 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0xac543fae00000000, size 0x132 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0xac54401000000000, size 0x132 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x0, size 0x132 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0xa01f3fc000000000, size 0x25e fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0xa01f402200000000, size 0x25e fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x0, size 0x25e fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x7ffeab1d21e0, size 0x28 fully unreadable
[0425/171502:ERROR:process_info.cc(608)] range at 0x7ffeab1d2d48, size 0x30 fully unreadable
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ff70b070000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\Program Files (x86)\Google\Chrome\Application\chrome.exe
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ffeab090000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\WINDOWS\SYSTEM32\ntdll.dll
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ffea8110000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\WINDOWS\system32\KERNELBASE.dll
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ffea8ec0000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\WINDOWS\system32\KERNEL32.DLL
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ffea9690000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\WINDOWS\system32\msvcrt.dll
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ffea89d0000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\WINDOWS\system32\RPCRT4.dll
[0425/171502:ERROR:process_reader_win.cc(141)] SuspendThread: 存取被拒。 (0x5)
[0425/171502:ERROR:process_reader_win.cc(141)] SuspendThread: 存取被拒。 (0x5)
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ffeaaed0000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\WINDOWS\system32\sechost.dll
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ffea8920000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ff70b070000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\WINDOWS\system32\ADVAPI32.dll
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\Program Files (x86)\Google\Chrome\Application\chrome.exe
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ff70b070000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ffe99a80000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\Program Files (x86)\Google\Chrome\Application\chrome.exe
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\Program Files (x86)\Google\Chrome\Application\49.0.2623.112\chrome_elf.dll
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ffea5560000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\WINDOWS\SYSTEM32\WINHTTP.dll
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ffea38a0000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\WINDOWS\SYSTEM32\VERSION.dll
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ffe99a80000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ffea8300000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\Program Files (x86)\Google\Chrome\Application\49.0.2623.112\chrome_elf.dll
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\WINDOWS\system32\cfgmgr32.dll
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ffea8110000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ffea4ed0000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ffea5560000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\WINDOWS\system32\KERNELBASE.dll
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\WINDOWS\SYSTEM32\WINMMBASE.dll
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\WINDOWS\SYSTEM32\WINHTTP.dll
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ffea8d30000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\WINDOWS\system32\GDI32.dll
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ffea38a0000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ffea8ec0000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\WINDOWS\SYSTEM32\VERSION.dll
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\WINDOWS\system32\KERNEL32.DLL
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ffeaaf30000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\WINDOWS\system32\USER32.dll
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ffea9690000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\WINDOWS\system32\msvcrt.dll
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ffea4ed0000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ffea84f0000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\WINDOWS\SYSTEM32\WINMMBASE.dll
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\WINDOWS\system32\IMM32.DLL
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ffea89d0000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\WINDOWS\system32\RPCRT4.dll
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ffea4f00000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\WINDOWS\SYSTEM32\WINMM.dll
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ffeaaed0000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\WINDOWS\system32\sechost.dll
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ffea7700000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ffea4f00000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\WINDOWS\system32\profapi.dll
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\WINDOWS\SYSTEM32\WINMM.dll
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ffea8920000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\WINDOWS\system32\ADVAPI32.dll
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ffea6e10000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\WINDOWS\SYSTEM32\USERENV.dll
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ffe99a80000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
